iter	Passed	Remaining
304	14226	32418
305	14266	32357
306	14300	32280
307	14339	32217
308	14392	32186
309	14444	32149
310	14499	32123
311	14554	32094
312	14607	32061
313	14668	32046
314	14723	32018
315	14778	31987
316	14824	31939
317	14881	31915
318	14935	31884
319	14984	31841
320	15046	31827
321	15103	31801
322	15145	31745
323	15193	31700
324	15239	31651
325	15279	31589
326	15325	31542
327	15377	31505
328	15428	31465
329	15475	31420
330	15513	31355
331	15561	31310
332	15610	31267
333	15660	31226
334	15701	31168
335	15751	31126
336	15798	31081
337	15840	31024
338	15883	30970
339	15926	30915
340	15968	30860
341	16009	30802
342	16050	30743
343	16083	30671
344	16134	30631
345	16184	30591
346	16240	30561
347	16286	30513
348	16323	30449
349	16373	30407
350	16427	30373
351	16469	30319
352	16513	30266
353	16562	30223
354	16611	30181
355	16650	30121
356	16703	30085
357	16750	30038
358	16793	29985
359	16830	29920
360	16890	29897
361	16942	29859
362	16999	29831
363	17061	29810
364	17116	29777
365	17164	29732
366	17213	29690
367	17271	29661
368	17319	29616
369	17374	29583
370	17414	29525
371	17459	29475
372	17513	29439
373	17577	29420
374	17626	29376
375	17680	29342
376	17724	29290
377	17770	29241
378	17826	29208
379	17881	29174
380	17937	29142
381	17999	29119
382	18055	29086
383	18103	29040
384	18151	28995
385	18199	28949
386	18230	28876
387	18268	28814
388	18308	28757
389	18354	28707
390	18402	28662
391	18449	28615
392	18484	28549
393	18520	28485
394	18568	28440
395	18621	28402
396	18665	28350
397	18712	28303
398	18760	28257
399	18811	28217
